Capítulo,Versículo,Texto
50.0,43.0,انا نحن نحيي ونميت والينا المصير
50.0,44.0,يوم تشقق الارض عنهم سراعا ۚ ذلك حشر علينا يسير
50.0,45.0,نحن اعلم بما يقولون ۖ وما انت عليهم بجبار ۖ فذكر بالقران من يخاف وعيد
51.0,1.0,بسم الله الرحمن الرحيم والذاريات ذروا
51.0,2.0,فالحاملات وقرا
51.0,3.0,فالجاريات يسرا
51.0,4.0,فالمقسمات امرا
51.0,5.0,انما توعدون لصادق
51.0,6.0,وان الدين لواقع
51.0,7.0,والسماء ذات الحبك
51.0,8.0,انكم لفي قول مختلف
51.0,9.0,يؤفك عنه من افك
51.0,10.0,قتل الخراصون
51.0,11.0,الذين هم في غمره ساهون
51.0,12.0,يسالون ايان يوم الدين
51.0,13.0,يوم هم علي النار يفتنون
51.0,14.0,ذوقوا فتنتكم هذا الذي كنتم به تستعجلون
51.0,15.0,ان المتقين في جنات وعيون
51.0,16.0,اخذين ما اتاهم ربهم ۚ انهم كانوا قبل ذلك محسنين
51.0,17.0,كانوا قليلا من الليل ما يهجعون
51.0,18.0,وبالاسحار هم يستغفرون
51.0,19.0,وفي اموالهم حق للسائل والمحروم
51.0,20.0,وفي الارض ايات للموقنين
51.0,21.0,وفي انفسكم ۚ افلا تبصرون
51.0,22.0,وفي السماء رزقكم وما توعدون
51.0,23.0,فورب السماء والارض انه لحق مثل ما انكم تنطقون
51.0,24.0,هل اتاك حديث ضيف ابراهيم المكرمين
51.0,25.0,اذ دخلوا عليه فقالوا سلاما ۖ قال سلام قوم منكرون
51.0,26.0,فراغ الي اهله فجاء بعجل سمين
51.0,27.0,فقربه اليهم قال الا تاكلون
51.0,28.0,فاوجس منهم خيفه ۖ قالوا لا تخف ۖ وبشروه بغلام عليم
51.0,29.0,فاقبلت امراته في صره فصكت وجهها وقالت عجوز عقيم
51.0,30.0,قالوا كذلك قال ربك ۖ انه هو الحكيم العليم
51.0,31.0,قال فما خطبكم ايها المرسلون
51.0,32.0,قالوا انا ارسلنا الي قوم مجرمين
51.0,33.0,لنرسل عليهم حجاره من طين
51.0,34.0,مسومه عند ربك للمسرفين
51.0,35.0,فاخرجنا من كان فيها من المؤمنين
51.0,36.0,فما وجدنا فيها غير بيت من المسلمين
51.0,37.0,وتركنا فيها ايه للذين يخافون العذاب الاليم
51.0,38.0,وفي موسي اذ ارسلناه الي فرعون بسلطان مبين
51.0,39.0,فتولي بركنه وقال ساحر او مجنون
51.0,40.0,فاخذناه وجنوده فنبذناهم في اليم وهو مليم
51.0,41.0,وفي عاد اذ ارسلنا عليهم الريح العقيم
51.0,42.0,ما تذر من شيء اتت عليه الا جعلته كالرميم
51.0,43.0,وفي ثمود اذ قيل لهم تمتعوا حتي حين
51.0,44.0,فعتوا عن امر ربهم فاخذتهم الصاعقه وهم ينظرون
51.0,45.0,فما استطاعوا من قيام وما كانوا منتصرين
51.0,46.0,وقوم نوح من قبل ۖ انهم كانوا قوما فاسقين
51.0,47.0,والسماء بنيناها بايد وانا لموسعون
51.0,48.0,والارض فرشناها فنعم الماهدون
51.0,49.0,ومن كل شيء خلقنا زوجين لعلكم تذكرون
51.0,50.0,ففروا الي الله ۖ اني لكم منه نذير مبين
51.0,51.0,ولا تجعلوا مع الله الها اخر ۖ اني لكم منه نذير مبين
51.0,52.0,كذلك ما اتي الذين من قبلهم من رسول الا قالوا ساحر او مجنون
51.0,53.0,اتواصوا به ۚ بل هم قوم طاغون
51.0,54.0,فتول عنهم فما انت بملوم
51.0,55.0,وذكر فان الذكري تنفع المؤمنين
51.0,56.0,وما خلقت الجن والانس الا ليعبدون
51.0,57.0,ما اريد منهم من رزق وما اريد ان يطعمون
51.0,58.0,ان الله هو الرزاق ذو القوه المتين
51.0,59.0,فان للذين ظلموا ذنوبا مثل ذنوب اصحابهم فلا يستعجلون
51.0,60.0,فويل للذين كفروا من يومهم الذي يوعدون
52.0,1.0,بسم الله الرحمن الرحيم والطور
52.0,2.0,وكتاب مسطور
52.0,3.0,في رق منشور
52.0,4.0,والبيت المعمور
52.0,5.0,والسقف المرفوع
52.0,6.0,والبحر المسجور
52.0,7.0,ان عذاب ربك لواقع
52.0,8.0,ما له من دافع
52.0,9.0,يوم تمور السماء مورا
52.0,10.0,وتسير الجبال سيرا
52.0,11.0,فويل يومئذ للمكذبين
52.0,12.0,الذين هم في خوض يلعبون
52.0,13.0,يوم يدعون الي نار جهنم دعا
52.0,14.0,هذه النار التي كنتم بها تكذبون
52.0,15.0,افسحر هذا ام انتم لا تبصرون
52.0,16.0,اصلوها فاصبروا او لا تصبروا سواء عليكم ۖ انما تجزون ما كنتم تعملون
52.0,17.0,ان المتقين في جنات ونعيم
52.0,18.0,فاكهين بما اتاهم ربهم ووقاهم ربهم عذاب الجحيم
52.0,19.0,كلوا واشربوا هنيئا بما كنتم تعملون
52.0,20.0,متكئين علي سرر مصفوفه ۖ وزوجناهم بحور عين
52.0,21.0,والذين امنوا واتبعتهم ذريتهم بايمان الحقنا بهم ذريتهم وما التناهم من عملهم من شيء ۚ كل امرئ بما كسب رهين
52.0,22.0,وامددناهم بفاكهه ولحم مما يشتهون
52.0,23.0,يتنازعون فيها كاسا لا لغو فيها ولا تاثيم
52.0,24.0,ويطوف عليهم غلمان لهم كانهم لؤلؤ مكنون
52.0,25.0,واقبل بعضهم علي بعض يتساءلون
52.0,26.0,قالوا انا كنا قبل في اهلنا مشفقين
52.0,27.0,فمن الله علينا ووقانا عذاب السموم
52.0,28.0,انا كنا من قبل ندعوه ۖ انه هو البر الرحيم
52.0,29.0,فذكر فما انت بنعمت ربك بكاهن ولا مجنون
52.0,30.0,ام يقولون شاعر نتربص به ريب المنون
52.0,31.0,قل تربصوا فاني معكم من المتربصين
52.0,32.0,ام تامرهم احلامهم بهذا ۚ ام هم قوم طاغون
52.0,33.0,ام يقولون تقوله ۚ بل لا يؤمنون
52.0,34.0,فلياتوا بحديث مثله ان كانوا صادقين
52.0,35.0,ام خلقوا من غير شيء ام هم الخالقون
52.0,36.0,ام خلقوا السماوات والارض ۚ بل لا يوقنون
52.0,37.0,ام عندهم خزائن ربك ام هم المصيطرون
52.0,38.0,ام لهم سلم يستمعون فيه ۖ فليات مستمعهم بسلطان مبين
52.0,39.0,ام له البنات ولكم البنون
52.0,40.0,ام تسالهم اجرا فهم من مغرم مثقلون
52.0,41.0,ام عندهم الغيب فهم يكتبون
52.0,42.0,ام يريدون كيدا ۖ فالذين كفروا هم المكيدون
52.0,43.0,ام لهم اله غير الله ۚ سبحان الله عما يشركون
52.0,44.0,وان يروا كسفا من السماء ساقطا يقولوا سحاب مركوم
52.0,45.0,فذرهم حتي يلاقوا يومهم الذي فيه يصعقون
52.0,46.0,يوم لا يغني عنهم كيدهم شيئا ولا هم ينصرون
52.0,47.0,وان للذين ظلموا عذابا دون ذلك ولكن اكثرهم لا يعلمون
52.0,48.0,واصبر لحكم ربك فانك باعيننا ۖ وسبح بحمد ربك حين تقوم
52.0,49.0,ومن الليل فسبحه وادبار النجوم
53.0,1.0,بسم الله الرحمن الرحيم والنجم اذا هوي
53.0,2.0,ما ضل صاحبكم وما غوي
53.0,3.0,وما ينطق عن الهوي
53.0,4.0,ان هو الا وحي يوحي
53.0,5.0,علمه شديد القوي
53.0,6.0,ذو مره فاستوي
53.0,7.0,وهو بالافق الاعلي
53.0,8.0,ثم دنا فتدلي
53.0,9.0,فكان قاب قوسين او ادني
53.0,10.0,فاوحي الي عبده ما اوحي
53.0,11.0,ما كذب الفؤاد ما راي
53.0,12.0,افتمارونه علي ما يري
53.0,13.0,ولقد راه نزله اخري
53.0,14.0,عند سدره المنتهي
53.0,15.0,عندها جنه الماوي
53.0,16.0,اذ يغشي السدره ما يغشي
53.0,17.0,ما زاغ البصر وما طغي
53.0,18.0,لقد راي من ايات ربه الكبري
53.0,19.0,افرايتم اللات والعزي
53.0,20.0,ومناه الثالثه الاخري
53.0,21.0,الكم الذكر وله الانثي
53.0,22.0,تلك اذا قسمه ضيزي
53.0,23.0,ان هي الا اسماء سميتموها انتم واباؤكم ما انزل الله بها من سلطان ۚ ان يتبعون الا الظن وما تهوي الانفس ۖ ولقد جاءهم من ربهم الهدي
53.0,24.0,ام للانسان ما تمني
53.0,25.0,فلله الاخره والاولي
53.0,26.0,وكم من ملك في السماوات لا تغني شفاعتهم شيئا الا من بعد ان ياذن الله لمن يشاء ويرضي
53.0,27.0,ان الذين لا يؤمنون بالاخره ليسمون الملائكه تسميه الانثي
53.0,28.0,وما لهم به من علم ۖ ان يتبعون الا الظن ۖ وان الظن لا يغني من الحق شيئا
53.0,29.0,فاعرض عن من تولي عن ذكرنا ولم يرد الا الحياه الدنيا
53.0,30.0,ذلك مبلغهم من العلم ۚ ان ربك هو اعلم بمن ضل عن سبيله وهو اعلم بمن اهتدي
53.0,31.0,ولله ما في السماوات وما في الارض ليجزي الذين اساءوا بما عملوا ويجزي الذين احسنوا بالحسني
53.0,32.0,الذين يجتنبون كبائر الاثم والفواحش الا اللمم ۚ ان ربك واسع المغفره ۚ هو اعلم بكم اذ انشاكم من الارض واذ انتم اجنه في بطون امهاتكم ۖ فلا تزكوا انفسكم ۖ هو اعلم بمن اتقي
53.0,33.0,افرايت الذي تولي
53.0,34.0,واعطي قليلا واكدي
53.0,35.0,اعنده علم الغيب فهو يري
53.0,36.0,ام لم ينبا بما في صحف موسي
53.0,37.0,وابراهيم الذي وفي
53.0,38.0,الا تزر وازره وزر اخري
53.0,39.0,وان ليس للانسان الا ما سعي
53.0,40.0,وان سعيه سوف يري
53.0,41.0,ثم يجزاه الجزاء الاوفي
53.0,42.0,وان الي ربك المنتهي
53.0,43.0,وانه هو اضحك وابكي
53.0,44.0,وانه هو امات واحيا
53.0,45.0,وانه خلق الزوجين الذكر والانثي
53.0,46.0,من نطفه اذا تمني
53.0,47.0,وان عليه النشاه الاخري
53.0,48.0,وانه هو اغني واقني
53.0,49.0,وانه هو رب الشعري
53.0,50.0,وانه اهلك عادا الاولي
53.0,51.0,وثمود فما ابقي
53.0,52.0,وقوم نوح من قبل ۖ انهم كانوا هم اظلم واطغي
53.0,53.0,والمؤتفكه اهوي
53.0,54.0,فغشاها ما غشي
53.0,55.0,فباي الاء ربك تتماري
53.0,56.0,هذا نذير من النذر الاولي
53.0,57.0,ازفت الازفه
53.0,58.0,ليس لها من دون الله كاشفه
53.0,59.0,افمن هذا الحديث تعجبون
53.0,60.0,وتضحكون ولا تبكون
53.0,61.0,وانتم سامدون
53.0,62.0,فاسجدوا لله واعبدوا ۩
54.0,1.0,بسم الله الرحمن الرحيم اقتربت الساعه وانشق القمر
54.0,2.0,وان يروا ايه يعرضوا ويقولوا سحر مستمر
54.0,3.0,وكذبوا واتبعوا اهواءهم ۚ وكل امر مستقر
54.0,4.0,ولقد جاءهم من الانباء ما فيه مزدجر
54.0,5.0,حكمه بالغه ۖ فما تغن النذر
54.0,6.0,فتول عنهم ۘ يوم يدع الداع الي شيء نكر
54.0,7.0,خشعا ابصارهم يخرجون من الاجداث كانهم جراد منتشر
54.0,8.0,مهطعين الي الداع ۖ يقول الكافرون هذا يوم عسر
54.0,9.0,كذبت قبلهم قوم نوح فكذبوا عبدنا وقالوا مجنون وازدجر
54.0,10.0,فدعا ربه اني مغلوب فانتصر
54.0,11.0,ففتحنا ابواب السماء بماء منهمر
54.0,12.0,وفجرنا الارض عيونا فالتقي الماء علي امر قد قدر
54.0,13.0,وحملناه علي ذات الواح ودسر
54.0,14.0,تجري باعيننا جزاء لمن كان كفر
54.0,15.0,ولقد تركناها ايه فهل من مدكر
54.0,16.0,فكيف كان عذابي ونذر
54.0,17.0,ولقد يسرنا القران للذكر فهل من مدكر
54.0,18.0,كذبت عاد فكيف كان عذابي ونذر
54.0,19.0,انا ارسلنا عليهم ريحا صرصرا في يوم نحس مستمر
54.0,20.0,تنزع الناس كانهم اعجاز نخل منقعر
54.0,21.0,فكيف كان عذابي ونذر
54.0,22.0,ولقد يسرنا القران للذكر فهل من مدكر
54.0,23.0,كذبت ثمود بالنذر
54.0,24.0,فقالوا ابشرا منا واحدا نتبعه انا اذا لفي ضلال وسعر
54.0,25.0,االقي الذكر عليه من بيننا بل هو كذاب اشر
54.0,26.0,سيعلمون غدا من الكذاب الاشر
54.0,27.0,انا مرسلو الناقه فتنه لهم فارتقبهم واصطبر
54.0,28.0,ونبئهم ان الماء قسمه بينهم ۖ كل شرب محتضر
54.0,29.0,فنادوا صاحبهم فتعاطي فعقر
54.0,30.0,فكيف كان عذابي ونذر
54.0,31.0,انا ارسلنا عليهم صيحه واحده فكانوا كهشيم المحتظر
54.0,32.0,ولقد يسرنا القران للذكر فهل من مدكر
54.0,33.0,كذبت قوم لوط بالنذر
54.0,34.0,انا ارسلنا عليهم حاصبا الا ال لوط ۖ نجيناهم بسحر
54.0,35.0,نعمه من عندنا ۚ كذلك نجزي من شكر
54.0,36.0,ولقد انذرهم بطشتنا فتماروا بالنذر
54.0,37.0,ولقد راودوه عن ضيفه فطمسنا اعينهم فذوقوا عذابي ونذر
54.0,38.0,ولقد صبحهم بكره عذاب مستقر
54.0,39.0,فذوقوا عذابي ونذر
54.0,40.0,ولقد يسرنا القران للذكر فهل من مدكر
54.0,41.0,ولقد جاء ال فرعون النذر
54.0,42.0,كذبوا باياتنا كلها فاخذناهم اخذ عزيز مقتدر
54.0,43.0,اكفاركم خير من اولئكم ام لكم براءه في الزبر
54.0,44.0,ام يقولون نحن جميع منتصر
54.0,45.0,سيهزم الجمع ويولون الدبر
54.0,46.0,بل الساعه موعدهم والساعه ادهي وامر
54.0,47.0,ان المجرمين في ضلال وسعر
54.0,48.0,يوم يسحبون في النار علي وجوههم ذوقوا مس سقر
54.0,49.0,انا كل شيء خلقناه بقدر
54.0,50.0,وما امرنا الا واحده كلمح بالبصر
54.0,51.0,ولقد اهلكنا اشياعكم فهل من مدكر
54.0,52.0,وكل شيء فعلوه في الزبر
54.0,53.0,وكل صغير وكبير مستطر
54.0,54.0,ان المتقين في جنات ونهر
54.0,55.0,في مقعد صدق عند مليك مقتدر
55.0,1.0,بسم الله الرحمن الرحيم الرحمن
55.0,2.0,علم القران
55.0,3.0,خلق الانسان
55.0,4.0,علمه البيان
55.0,5.0,الشمس والقمر بحسبان
55.0,6.0,والنجم والشجر يسجدان
55.0,7.0,والسماء رفعها ووضع الميزان
55.0,8.0,الا تطغوا في الميزان
55.0,9.0,واقيموا الوزن بالقسط ولا تخسروا الميزان
55.0,10.0,والارض وضعها للانام
55.0,11.0,فيها فاكهه والنخل ذات الاكمام
55.0,12.0,والحب ذو العصف والريحان
55.0,13.0,فباي الاء ربكما تكذبان
55.0,14.0,خلق الانسان من صلصال كالفخار
55.0,15.0,وخلق الجان من مارج من نار
55.0,16.0,فباي الاء ربكما تكذبان
55.0,17.0,رب المشرقين ورب المغربين
55.0,18.0,فباي الاء ربكما تكذبان
55.0,19.0,مرج البحرين يلتقيان
55.0,20.0,بينهما برزخ لا يبغيان
55.0,21.0,فباي الاء ربكما تكذبان
55.0,22.0,يخرج منهما اللؤلؤ والمرجان
55.0,23.0,فباي الاء ربكما تكذبان
55.0,24.0,وله الجوار المنشات في البحر كالاعلام
55.0,25.0,فباي الاء ربكما تكذبان
55.0,26.0,كل من عليها فان
55.0,27.0,ويبقي وجه ربك ذو الجلال والاكرام
55.0,28.0,فباي الاء ربكما تكذبان
55.0,29.0,يساله من في السماوات والارض ۚ كل يوم هو في شان
55.0,30.0,فباي الاء ربكما تكذبان
55.0,31.0,سنفرغ لكم ايه الثقلان
55.0,32.0,فباي الاء ربكما تكذبان
55.0,33.0,يا معشر الجن والانس ان استطعتم ان تنفذوا من اقطار السماوات والارض فانفذوا ۚ لا تنفذون الا بسلطان
55.0,34.0,فباي الاء ربكما تكذبان
55.0,35.0,يرسل عليكما شواظ من نار ونحاس فلا تنتصران
55.0,36.0,فباي الاء ربكما تكذبان
55.0,37.0,فاذا انشقت السماء فكانت ورده كالدهان
55.0,38.0,فباي الاء ربكما تكذبان
55.0,39.0,فيومئذ لا يسال عن ذنبه انس ولا جان
55.0,40.0,فباي الاء ربكما تكذبان
55.0,41.0,يعرف المجرمون بسيماهم فيؤخذ بالنواصي والاقدام
55.0,42.0,فباي الاء ربكما تكذبان
55.0,43.0,هذه جهنم التي يكذب بها المجرمون
55.0,44.0,يطوفون بينها وبين حميم ان
55.0,45.0,فباي الاء ربكما تكذبان
55.0,46.0,ولمن خاف مقام ربه جنتان
55.0,47.0,فباي الاء ربكما تكذبان
55.0,48.0,ذواتا افنان
55.0,49.0,فباي الاء ربكما تكذبان
55.0,50.0,فيهما عينان تجريان
55.0,51.0,فباي الاء ربكما تكذبان
55.0,52.0,فيهما من كل فاكهه زوجان
55.0,53.0,فباي الاء ربكما تكذبان
55.0,54.0,متكئين علي فرش بطائنها من استبرق ۚ وجني الجنتين دان
55.0,55.0,فباي الاء ربكما تكذبان
55.0,56.0,فيهن قاصرات الطرف لم يطمثهن انس قبلهم ولا جان
55.0,57.0,فباي الاء ربكما تكذبان
55.0,58.0,كانهن الياقوت والمرجان
55.0,59.0,فباي الاء ربكما تكذبان
55.0,60.0,هل جزاء الاحسان الا الاحسان
55.0,61.0,فباي الاء ربكما تكذبان
55.0,62.0,ومن دونهما جنتان
55.0,63.0,فباي الاء ربكما تكذبان
55.0,64.0,مدهامتان
55.0,65.0,فباي الاء ربكما تكذبان
55.0,66.0,فيهما عينان نضاختان
55.0,67.0,فباي الاء ربكما تكذبان
55.0,68.0,فيهما فاكهه ونخل ورمان
55.0,69.0,فباي الاء ربكما تكذبان
55.0,70.0,فيهن خيرات حسان
55.0,71.0,فباي الاء ربكما تكذبان
55.0,72.0,حور مقصورات في الخيام
55.0,73.0,فباي الاء ربكما تكذبان
55.0,74.0,لم يطمثهن انس قبلهم ولا جان
55.0,75.0,فباي الاء ربكما تكذبان
55.0,76.0,متكئين علي رفرف خضر وعبقري حسان
55.0,77.0,فباي الاء ربكما تكذبان
55.0,78.0,تبارك اسم ربك ذي الجلال والاكرام
56.0,1.0,بسم الله الرحمن الرحيم اذا وقعت الواقعه
56.0,2.0,ليس لوقعتها كاذبه
56.0,3.0,خافضه رافعه
56.0,4.0,اذا رجت الارض رجا
56.0,5.0,وبست الجبال بسا
56.0,6.0,فكانت هباء منبثا
56.0,7.0,وكنتم ازواجا ثلاثه
56.0,8.0,فاصحاب الميمنه ما اصحاب الميمنه
56.0,9.0,واصحاب المشامه ما اصحاب المشامه
56.0,10.0,والسابقون السابقون
56.0,11.0,اولئك المقربون
56.0,12.0,في جنات النعيم
56.0,13.0,ثله من الاولين
56.0,14.0,وقليل من الاخرين
56.0,15.0,علي سرر موضونه
56.0,16.0,متكئين عليها متقابلين
56.0,17.0,يطوف عليهم ولدان مخلدون
56.0,18.0,باكواب واباريق وكاس من معين
56.0,19.0,لا يصدعون عنها ولا ينزفون
56.0,20.0,وفاكهه مما يتخيرون
56.0,21.0,ولحم طير مما يشتهون
56.0,22.0,وحور عين
56.0,23.0,كامثال اللؤلؤ المكنون
56.0,24.0,جزاء بما كانوا يعملون
56.0,25.0,لا يسمعون فيها لغوا ولا تاثيما
56.0,26.0,الا قيلا سلاما سلاما
56.0,27.0,واصحاب اليمين ما اصحاب اليمين
56.0,28.0,في سدر مخضود
56.0,29.0,وطلح منضود
56.0,30.0,وظل ممدود
56.0,31.0,وماء مسكوب
56.0,32.0,وفاكهه كثيره
56.0,33.0,لا مقطوعه ولا ممنوعه
56.0,34.0,وفرش مرفوعه
56.0,35.0,انا انشاناهن انشاء
56.0,36.0,فجعلناهن ابكارا
56.0,37.0,عربا اترابا
56.0,38.0,لاصحاب اليمين
56.0,39.0,ثله من الاولين
56.0,40.0,وثله من الاخرين
56.0,41.0,واصحاب الشمال ما اصحاب الشمال
56.0,42.0,في سموم وحميم
56.0,43.0,وظل من يحموم
56.0,44.0,لا بارد ولا كريم
56.0,45.0,انهم كانوا قبل ذلك مترفين
56.0,46.0,وكانوا يصرون علي الحنث العظيم
56.0,47.0,وكانوا يقولون ائذا متنا وكنا ترابا وعظاما اانا لمبعوثون
56.0,48.0,اواباؤنا الاولون
56.0,49.0,قل ان الاولين والاخرين
56.0,50.0,لمجموعون الي ميقات يوم معلوم
56.0,51.0,ثم انكم ايها الضالون المكذبون
56.0,52.0,لاكلون من شجر من زقوم
56.0,53.0,فمالئون منها البطون
56.0,54.0,فشاربون عليه من الحميم
56.0,55.0,فشاربون شرب الهيم
56.0,56.0,هذا نزلهم يوم الدين
56.0,57.0,نحن خلقناكم فلولا تصدقون
56.0,58.0,افرايتم ما تمنون
56.0,59.0,اانتم تخلقونه ام نحن الخالقون
56.0,60.0,نحن قدرنا بينكم الموت وما نحن بمسبوقين
56.0,61.0,علي ان نبدل امثالكم وننشئكم في ما لا تعلمون
56.0,62.0,ولقد علمتم النشاه الاولي فلولا تذكرون
56.0,63.0,افرايتم ما تحرثون
56.0,64.0,اانتم تزرعونه ام نحن الزارعون
56.0,65.0,لو نشاء لجعلناه حطاما فظلتم تفكهون
56.0,66.0,انا لمغرمون
56.0,67.0,بل نحن محرومون
56.0,68.0,افرايتم الماء الذي تشربون
56.0,69.0,اانتم انزلتموه من المزن ام نحن المنزلون
56.0,70.0,لو نشاء جعلناه اجاجا فلولا تشكرون
56.0,71.0,افرايتم النار التي تورون
56.0,72.0,اانتم انشاتم شجرتها ام نحن المنشئون
56.0,73.0,نحن جعلناها تذكره ومتاعا للمقوين
56.0,74.0,فسبح باسم ربك العظيم
56.0,75.0,فلا اقسم بمواقع النجوم
56.0,76.0,وانه لقسم لو تعلمون عظيم
56.0,77.0,انه لقران كريم
56.0,78.0,في كتاب مكنون
56.0,79.0,لا يمسه الا المطهرون
56.0,80.0,تنزيل من رب العالمين
56.0,81.0,افبهذا الحديث انتم مدهنون
56.0,82.0,وتجعلون رزقكم انكم تكذبون
56.0,83.0,فلولا اذا بلغت الحلقوم
56.0,84.0,وانتم حينئذ تنظرون
56.0,85.0,ونحن اقرب اليه منكم ولكن لا تبصرون
56.0,86.0,فلولا ان كنتم غير مدينين
56.0,87.0,ترجعونها ان كنتم صادقين
56.0,88.0,فاما ان كان من المقربين
56.0,89.0,فروح وريحان وجنت نعيم
56.0,90.0,واما ان كان من اصحاب اليمين
56.0,91.0,فسلام لك من اصحاب اليمين
56.0,92.0,واما ان كان من المكذبين الضالين
56.0,93.0,فنزل من حميم
56.0,94.0,وتصليه جحيم
56.0,95.0,ان هذا لهو حق اليقين
56.0,96.0,فسبح باسم ربك العظيم
57.0,1.0,بسم الله الرحمن الرحيم سبح لله ما في السماوات والارض ۖ وهو العزيز الحكيم
57.0,2.0,له ملك السماوات والارض ۖ يحيي ويميت ۖ وهو علي كل شيء قدير
57.0,3.0,هو الاول والاخر والظاهر والباطن ۖ وهو بكل شيء عليم
57.0,4.0,هو الذي خلق السماوات والارض في سته ايام ثم استوي علي العرش ۚ يعلم ما يلج في الارض وما يخرج منها وما ينزل من السماء وما يعرج فيها ۖ وهو معكم اين ما كنتم ۚ والله بما تعملون بصير
57.0,5.0,له ملك السماوات والارض ۚ والي الله ترجع الامور
57.0,6.0,يولج الليل في النهار ويولج النهار في الليل ۚ وهو عليم بذات الصدور
57.0,7.0,امنوا بالله ورسوله وانفقوا مما جعلكم مستخلفين فيه ۖ فالذين امنوا منكم وانفقوا لهم اجر كبير
57.0,8.0,وما لكم لا تؤمنون بالله ۙ والرسول يدعوكم لتؤمنوا بربكم وقد اخذ ميثاقكم ان كنتم مؤمنين
57.0,9.0,هو الذي ينزل علي عبده ايات بينات ليخرجكم من الظلمات الي النور ۚ وان الله بكم لرءوف رحيم
57.0,10.0,وما لكم الا تنفقوا في سبيل الله ولله ميراث السماوات والارض ۚ لا يستوي منكم من انفق من قبل الفتح وقاتل ۚ اولئك اعظم درجه من الذين انفقوا من بعد وقاتلوا ۚ وكلا وعد الله الحسني ۚ والله بما تعملون خبير
57.0,11.0,من ذا الذي يقرض الله قرضا حسنا فيضاعفه له وله اجر كريم
57.0,12.0,يوم تري المؤمنين والمؤمنات يسعي نورهم بين ايديهم وبايمانهم بشراكم اليوم جنات تجري من تحتها الانهار خالدين فيها ۚ ذلك هو الفوز العظيم
57.0,13.0,يوم يقول المنافقون والمنافقات للذين امنوا انظرونا نقتبس من نوركم قيل ارجعوا وراءكم فالتمسوا نورا فضرب بينهم بسور له باب باطنه فيه الرحمه وظاهره من قبله العذاب
57.0,14.0,ينادونهم الم نكن معكم ۖ قالوا بلي ولكنكم فتنتم انفسكم وتربصتم وارتبتم وغرتكم الاماني حتي جاء امر الله وغركم بالله الغرور
57.0,15.0,فاليوم لا يؤخذ منكم فديه ولا من الذين كفروا ۚ ماواكم النار ۖ هي مولاكم ۖ وبئس المصير
57.0,16.0,الم يان للذين امنوا ان تخشع قلوبهم لذكر الله وما نزل من الحق ولا يكونوا كالذين اوتوا الكتاب من قبل فطال عليهم الامد فقست قلوبهم ۖ وكثير منهم فاسقون
57.0,17.0,اعلموا ان الله يحيي الارض بعد موتها ۚ قد بينا لكم الايات لعلكم تعقلون
57.0,18.0,ان المصدقين والمصدقات واقرضوا الله قرضا حسنا يضاعف لهم ولهم اجر كريم
57.0,19.0,والذين امنوا بالله ورسله اولئك هم الصديقون ۖ والشهداء عند ربهم لهم اجرهم ونورهم ۖ والذين كفروا وكذبوا باياتنا اولئك اصحاب الجحيم
57.0,20.0,اعلموا انما الحياه الدنيا لعب ولهو وزينه وتفاخر بينكم وتكاثر في الاموال والاولاد ۖ كمثل غيث اعجب الكفار نباته ثم يهيج فتراه مصفرا ثم يكون حطاما ۖ وفي الاخره عذاب شديد ومغفره من الله ورضوان ۚ وما الحياه الدنيا الا متاع الغرور
57.0,21.0,سابقوا الي مغفره من ربكم وجنه عرضها كعرض السماء والارض اعدت للذين امنوا بالله ورسله ۚ ذلك فضل الله يؤتيه من يشاء ۚ والله ذو الفضل العظيم
57.0,22.0,ما اصاب من مصيبه في الارض ولا في انفسكم الا في كتاب من قبل ان نبراها ۚ ان ذلك علي الله يسير
57.0,23.0,لكيلا تاسوا علي ما فاتكم ولا تفرحوا بما اتاكم ۗ والله لا يحب كل مختال فخور
57.0,24.0,الذين يبخلون ويامرون الناس بالبخل ۗ ومن يتول فان الله هو الغني الحميد
57.0,25.0,لقد ارسلنا رسلنا بالبينات وانزلنا معهم الكتاب والميزان ليقوم الناس بالقسط ۖ وانزلنا الحديد فيه باس شديد ومنافع للناس وليعلم الله من ينصره ورسله بالغيب ۚ ان الله قوي عزيز
57.0,26.0,ولقد ارسلنا نوحا وابراهيم وجعلنا في ذريتهما النبوه والكتاب ۖ فمنهم مهتد ۖ وكثير منهم فاسقون
57.0,27.0,ثم قفينا علي اثارهم برسلنا وقفينا بعيسي ابن مريم واتيناه الانجيل وجعلنا في قلوب الذين اتبعوه رافه ورحمه ورهبانيه ابتدعوها ما كتبناها عليهم الا ابتغاء رضوان الله فما رعوها حق رعايتها ۖ فاتينا الذين امنوا منهم اجرهم ۖ وكثير منهم فاسقون
57.0,28.0,يا ايها الذين امنوا اتقوا الله وامنوا برسوله يؤتكم كفلين من رحمته ويجعل لكم نورا تمشون به ويغفر لكم ۚ والله غفور رحيم
57.0,29.0,لئلا يعلم اهل الكتاب الا يقدرون علي شيء من فضل الله ۙ وان الفضل بيد الله يؤتيه من يشاء ۚ والله ذو الفضل العظيم
58.0,1.0,بسم الله الرحمن الرحيم قد سمع الله قول التي تجادلك في زوجها وتشتكي الي الله والله يسمع تحاوركما ۚ ان الله سميع بصير
